KO_code	Transcripts
K07464	20.0
K07321	37.0
K07321	37.0
K03177	59.0
K03177	59.0
K05896	18.0
K05896	18.0
K05895	13.0
K05895	13.0
K02118	25.0
K02118	25.0
K07723	53.0
K07723	53.0
K06131	36.0
K06131	36.0
K01873	101.0
K01873	101.0
K00864	6.0
K00864	6.0
K00554	27.0
K00554	27.0
K09748	44.0
K09748	44.0
K01687	1.0
K01687	1.0
K12574	108.0
K12574	108.0
K00558	17.0
K00558	17.0
K01501	28.0
K01501	28.0
K02653	7.0
K02653	7.0
K01179	6.0
K01179	6.0
K16850	111.0
K16850	111.0
K01262	93.0
K01262	93.0
K06387	0.0
K06387	0.0
K07217	0.0
K07217	0.0
K06023	16.0
K06023	16.0
K00812	285.0
K00812	285.0
K03719	138.0
K03719	138.0
K00817	5.0
K00817	5.0
K00951	26.0
K00951	26.0
K00950	42.0
K00950	42.0
K00954	20.0
K00954	20.0
K07219	17.0
K07219	17.0
K02315	67.0
K02315	67.0
K03481	10.0
K03481	10.0
K08301	24.0
K08301	24.0
K08302	87.0
K08302	87.0
K08303	40.0
K08303	40.0
K03486	30.0
K03486	30.0
K08309	11.0
K08309	11.0
K06180	35.0
K06180	35.0
K05795	152.0
K05795	152.0
K05796	71.0
K05796	71.0
K06183	8.0
K06183	8.0
K05792	29.0
K05792	29.0
K06187	95.0
K06187	95.0
K01493	83.0
K01493	83.0
K02601	392.0
K02601	392.0
K02600	78.0
K02600	78.0
K07727	8.0
K07727	8.0
K05799	13.0
K05799	13.0
K01495	43.0
K01495	43.0
K03592	15.0
K03592	15.0
K02419	66.0
K02419	66.0
K01677	11.0
K01677	11.0
K02412	79.0
K02412	79.0
K03551	10.0
K03551	10.0
K02410	67.0
K02410	67.0
K02411	69.0
K02411	69.0
K02416	54.0
K02416	54.0
K02417	89.0
K02417	89.0
K10440	3.0
K10440	3.0
K10441	4.0
K10441	4.0
K01778	16.0
K01778	16.0
K01779	35.0
K01779	35.0
K01591	6.0
K01591	6.0
K02782	4.0
K02782	4.0
K02783	7.0
K02783	7.0
K01770	9.0
K01770	9.0
K02781	4.0
K02781	4.0
K01776	15.0
K01776	15.0
K01777	1971.0
K01777	1971.0
K01775	46.0
K01775	46.0
K07106	0.0
K07106	0.0
K07105	17.0
K07105	17.0
K07456	12.0
K07456	12.0
K01928	15.0
K01928	15.0
K16950	0.0
K16950	0.0
K16951	0.0
K16951	0.0
K02892	377.0
K02892	377.0
K02890	345.0
K02890	345.0
K02777	3.0
K02777	3.0
K10439	5.0
K10439	5.0
K02774	36.0
K02774	36.0
K02773	11.0
K02773	11.0
K14155	12.0
K14155	12.0
K02770	82.0
K02770	82.0
K07699	435.0
K07699	435.0
K09696	12.0
K09696	12.0
K02071	6.0
K02071	6.0
K02072	5.0
K02072	5.0
K02073	13.0
K02073	13.0
K02526	78.0
K02526	78.0
K02398	76.0
K02398	76.0
K02520	308.0
K02520	308.0
K02444	6.0
K02444	6.0
K03305	41.0
K03305	41.0
K02397	144.0
K02397	144.0
K02396	112.0
K02396	112.0
K02390	83.0
K02390	83.0
K02528	30.0
K02528	30.0
K02392	105.0
K02392	105.0
K07738	3.0
K07738	3.0
K02110	119.0
K02110	119.0
K01916	34.0
K01916	34.0
K01915	34.0
K01915	34.0
K03524	2.0
K03524	2.0
K01918	11.0
K01918	11.0
K01977	81.0
K01977	81.0
K01552	1.0
K01552	1.0
K03783	52.0
K03783	52.0
K00335	54.0
K00335	54.0
K05934	17.0
K05934	17.0
K00077	6.0
K00077	6.0
K00074	530.0
K00074	530.0
K00019	0.0
K00019	0.0
K03789	13.0
K03789	13.0
K00865	1.0
K00865	1.0
K03701	19.0
K03701	19.0
K02114	150.0
K02114	150.0
K00177	240.0
K00177	240.0
K00176	65.0
K00176	65.0
K00175	243.0
K00175	243.0
K00174	290.0
K00174	290.0
K03411	13.0
K03411	13.0
K03410	15.0
K03410	15.0
K03413	15.0
K03413	15.0
K03412	18.0
K03412	18.0
K02557	120.0
K02557	120.0
K02556	102.0
K02556	102.0
K02791	3.0
K02791	3.0
K07171	65.0
K07171	65.0
K00375	1.0
K00375	1.0
K01524	6.0
K01524	6.0
K02119	20.0
K02119	20.0
K03826	10.0
K03826	10.0
K03827	21.0
K03827	21.0
K01358	177.0
K01358	177.0
K00194	54.0
K00194	54.0
K00197	61.0
K00197	61.0
K00196	183.0
K00196	183.0
K03608	100.0
K03608	100.0
K03609	113.0
K03609	113.0
K03470	8.0
K03470	8.0
K00198	338.0
K00198	338.0
K07402	26.0
K07402	26.0
K06173	47.0
K06173	47.0
K02967	333.0
K02967	333.0
K03466	19.0
K03466	19.0
K06178	7.0
K06178	7.0
K06223	0.0
K06223	0.0
K07584	544.0
K07584	544.0
K15555	15.0
K15555	15.0
K15554	14.0
K15554	14.0
K15553	81.0
K15553	81.0
K06997	73.0
K06997	73.0
K09710	55.0
K09710	55.0
K09711	7.0
K09711	7.0
K02970	223.0
K02970	223.0
K01989	330.0
K01989	330.0
K03735	31.0
K03735	31.0
K03736	22.0
K03736	22.0
K01726	65.0
K01726	65.0
K00016	13.0
K00016	13.0
K04078	23.0
K04078	23.0
K04079	117.0
K04079	117.0
K04077	111.0
K04077	111.0
K00104	387.0
K00104	387.0
K04075	51.0
K04075	51.0
K01985	0.0
K01985	0.0
K03739	33.0
K03739	33.0
K00854	13.0
K00854	13.0
K12410	13.0
K12410	13.0
K07038	23.0
K07038	23.0
K00852	1.0
K00852	1.0
K04758	24.0
K04758	24.0
K04757	9.0
K04757	9.0
K00359	407.0
K00359	407.0
K00997	15.0
K00997	15.0
K00991	5.0
K00991	5.0
K00859	10.0
K00859	10.0
K06382	4.0
K06382	4.0
K06383	0.0
K06383	0.0
K06381	21.0
K06381	21.0
K13820	80.0
K13820	80.0
K06384	15.0
K06384	15.0
K06385	1.0
K06385	1.0
K03043	237.0
K03043	237.0
K03040	718.0
K03040	718.0
K03046	312.0
K03046	312.0
K02931	551.0
K02931	551.0
K02933	562.0
K02933	562.0
K02935	827.0
K02935	827.0
K01489	34.0
K01489	34.0
K04769	0.0
K04769	0.0
K02939	61.0
K02939	61.0
K02963	789.0
K02963	789.0
K06917	27.0
K06917	27.0
K03544	278.0
K03544	278.0
K03424	50.0
K03424	50.0
K09787	37.0
K09787	37.0
K07160	20.0
K07160	20.0
K01000	34.0
K01000	34.0
K01678	12.0
K01678	12.0
K13038	49.0
K13038	49.0
K01006	45.0
K01006	45.0
K10793	2984.0
K10793	2984.0
K03564	26.0
K03564	26.0
K01438	1.0
K01438	1.0
K16906	1.0
K16906	1.0
K02414	48.0
K02414	48.0
K11754	30.0
K11754	30.0
K00927	303.0
K00927	303.0
K00634	48.0
K00634	48.0
K00929	155.0
K00929	155.0
K00075	19.0
K00075	19.0
K02415	38.0
K02415	38.0
K14441	37.0
K14441	37.0
K07658	13.0
K07658	13.0
K11041	81.0
K11041	81.0
K02986	674.0
K02986	674.0
K15342	18.0
K15342	18.0
K00694	8.0
K00694	8.0
K02982	554.0
K02982	554.0
K07173	28.0
K07173	28.0
K09913	122.0
K09913	122.0
K02988	369.0
K02988	369.0
K01714	229.0
K01714	229.0
K02113	165.0
K02113	165.0
K06927	12.0
K06927	12.0
K03581	4.0
K03581	4.0
K06925	11.0
K06925	11.0
K02117	21.0
K02117	21.0
K02115	307.0
K02115	307.0
K03584	25.0
K03584	25.0
K02563	55.0
K02563	55.0
K03589	1.0
K03589	1.0
K03588	44.0
K03588	44.0
K03465	39.0
K03465	39.0
K02564	76.0
K02564	76.0
K05985	16.0
K05985	16.0
K02038	0.0
K02038	0.0
K01649	0.0
K01649	0.0
K11145	100.0
K11145	100.0
K11261	10.0
K11261	10.0
K01640	0.0
K01640	0.0
K02190	20.0
K02190	20.0
K06910	24.0
K06910	24.0
K16905	1.0
K16905	1.0
K06405	0.0
K06405	0.0
K16907	4.0
K16907	4.0
K02594	4.0
K02594	4.0
K10796	1256.0
K10796	1256.0
K00334	50.0
K00334	50.0
K07035	1.0
K07035	1.0
K00700	23.0
K00700	23.0
K00703	43.0
K00703	43.0
K07138	24.0
K07138	24.0
K02598	1.0
K02598	1.0
K02027	14.0
K02027	14.0
K02026	50.0
K02026	50.0
K06407	0.0
K06407	0.0
K06406	0.0
K06406	0.0
K10819	3.0
K10819	3.0
K06956	38.0
K06956	38.0
K02020	7.0
K02020	7.0
K03518	1.0
K03518	1.0
K03517	4.0
K03517	4.0
K09903	75.0
K09903	75.0
K07137	10.0
K07137	10.0
K02029	16.0
K02029	16.0
K02028	23.0
K02028	23.0
K06864	9.0
K06864	9.0
K03769	212.0
K03769	212.0
K03768	84.0
K03768	84.0
K00099	23.0
K00099	23.0
K03763	12.0
K03763	12.0
K01925	40.0
K01925	40.0
K01866	73.0
K01866	73.0
K01867	62.0
K01867	62.0
K02160	192.0
K02160	192.0
K00226	10.0
K00226	10.0
K05813	0.0
K05813	0.0
K01868	85.0
K01868	85.0
K01869	62.0
K01869	62.0
K05816	0.0
K05816	0.0
K05815	0.0
K05815	0.0
K09458	230.0
K09458	230.0
K04032	12.0
K04032	12.0
K16963	6.0
K16963	6.0
K04030	12.0
K04030	12.0
K04031	14.0
K04031	14.0
K00145	0.0
K00145	0.0
K01945	42.0
K01945	42.0
K06409	38.0
K06409	38.0
K01939	61.0
K01939	61.0
K02899	776.0
K02899	776.0
K01940	19.0
K01940	19.0
K00384	555.0
K00384	555.0
K00385	0.0
K00385	0.0
K01586	22.0
K01586	22.0
K07042	18.0
K07042	18.0
K07043	16.0
K07043	16.0
K07729	4.0
K07729	4.0
K00797	3.0
K00797	3.0
K00796	43.0
K00796	43.0
K00027	15.0
K00027	15.0
K00794	173.0
K00794	173.0
K00793	60.0
K00793	60.0
K00790	26.0
K00790	26.0
K16698	31.0
K16698	31.0
K05814	1.0
K05814	1.0
K09013	34.0
K09013	34.0
K03687	42.0
K03687	42.0
K03088	9.0
K03088	9.0
K03086	226.0
K03086	226.0
K00891	10.0
K00891	10.0
K11752	81.0
K11752	81.0
K17465	0.0
K17465	0.0
K17464	0.0
K17464	0.0
K17467	2.0
K17467	2.0
K17466	1.0
K17466	1.0
K03169	16.0
K03169	16.0
K00609	16.0
K00609	16.0
K00676	2.0
K00676	2.0
K09989	22.0
K09989	22.0
K03092	9.0
K03092	9.0
K02835	53.0
K02835	53.0
K03833	17.0
K03833	17.0
K00901	12.0
K00901	12.0
K02775	35.0
K02775	35.0
K02036	0.0
K02036	0.0
K00248	1167.0
K00248	1167.0
K01784	44.0
K01784	44.0
K01424	75.0
K01424	75.0
K00566	35.0
K00566	35.0
K00567	10.0
K00567	10.0
K02078	197.0
K02078	197.0
K00243	16.0
K00243	16.0
K03648	12.0
K03648	12.0
K00965	14.0
K00965	14.0
K06969	16.0
K06969	16.0
K02669	13.0
K02669	13.0
K04763	35.0
K04763	35.0
K00962	123.0
K00962	123.0
K00963	40.0
K00963	40.0
K00600	27.0
K00600	27.0
K01163	53.0
K01163	53.0
K00969	14.0
K00969	14.0
K02663	1.0
K02663	1.0
K02662	6.0
K02662	6.0
K07183	24.0
K07183	24.0
K00806	93.0
K00806	93.0
K00805	11.0
K00805	11.0
K07185	1.0
K07185	1.0
K00800	10.0
K00800	10.0
K09936	0.0
K09936	0.0
K06217	8.0
K06217	8.0
K07567	534.0
K07567	534.0
K06213	59.0
K06213	59.0
K02948	488.0
K02948	488.0
K05781	0.0
K05781	0.0
K05780	0.0
K05780	0.0
K01547	0.0
K01547	0.0
K01546	0.0
K01546	0.0
K01548	0.0
K01548	0.0
K01788	27.0
K01788	27.0
K06193	21.0
K06193	21.0
K02945	67.0
K02945	67.0
K02946	461.0
K02946	461.0
K01269	16.0
K01269	16.0
K02409	71.0
K02409	71.0
K02408	34.0
K02408	34.0
K00286	156.0
K00286	156.0
K02018	4.0
K02018	4.0
K01689	867.0
K01689	867.0
K06962	42.0
K06962	42.0
K02400	60.0
K02400	60.0
K06960	215.0
K06960	215.0
K02015	11.0
K02015	11.0
K02405	39.0
K02405	39.0
K02404	40.0
K02404	40.0
K02407	216.0
K02407	216.0
K02406	2079.0
K02406	2079.0
K02798	261.0
K02798	261.0
K00850	104.0
K00850	104.0
K01443	24.0
K01443	24.0
K01444	76.0
K01444	76.0
K00661	7.0
K00661	7.0
K01448	125.0
K01448	125.0
K01449	0.0
K01449	0.0
K02793	75.0
K02793	75.0
K02795	53.0
K02795	53.0
K02794	66.0
K02794	66.0
K02796	84.0
K02796	84.0
K07507	8.0
K07507	8.0
K02493	23.0
K02493	23.0
K05810	9.0
K05810	9.0
K02888	316.0
K02888	316.0
K02495	42.0
K02495	42.0
K00179	70.0
K00179	70.0
K02884	316.0
K02884	316.0
K02887	427.0
K02887	427.0
K02886	619.0
K02886	619.0
K02881	483.0
K02881	483.0
K07461	1.0
K07461	1.0
K07462	11.0
K07462	11.0
K06998	11.0
K06998	11.0
K04564	0.0
K04564	0.0
K04567	148.0
K04567	148.0
K04562	51.0
K04562	51.0
K07667	28.0
K07667	28.0
K06442	19.0
K06442	19.0
K03307	131.0
K03307	131.0
K09779	1.0
K09779	1.0
K02242	5.0
K02242	5.0
K10773	6.0
K10773	6.0
K16849	71.0
K16849	71.0
K10670	1254.0
K10670	1254.0
K10672	497.0
K10672	497.0
K02538	3.0
K02538	3.0
K03438	8.0
K03438	8.0
K11358	7.0
K11358	7.0
K01611	1.0
K01611	1.0
K02083	12.0
K02083	12.0
K02123	23.0
K02123	23.0
K02120	22.0
K02120	22.0
K02121	20.0
K02121	20.0
K01619	15.0
K01619	15.0
K02124	18.0
K02124	18.0
K09861	20.0
K09861	20.0
K01740	8.0
K01740	8.0
K00068	5.0
K00068	5.0
K01090	14.0
K01090	14.0
K00917	2.0
K00917	2.0
K03547	18.0
K03547	18.0
K03546	17.0
K03546	17.0
K03545	277.0
K03545	277.0
K07166	21.0
K07166	21.0
K02834	73.0
K02834	73.0
K03429	17.0
K03429	17.0
K02836	68.0
K02836	68.0
K02838	127.0
K02838	127.0
K13789	18.0
K13789	18.0
K00691	10.0
K00691	10.0
K07007	5.0
K07007	5.0
K03930	4.0
K03930	4.0
K07005	45.0
K07005	45.0
K03705	23.0
K03705	23.0
K03752	9.0
K03752	9.0
K03753	8.0
K03753	8.0
K03750	8.0
K03750	8.0
K05337	153.0
K05337	153.0
K03617	53.0
K03617	53.0
K03616	102.0
K03616	102.0
K03615	86.0
K03615	86.0
K03614	74.0
K03614	74.0
K03613	56.0
K03613	56.0
K03612	94.0
K03612	94.0
K03610	144.0
K03610	144.0
K09707	30.0
K09707	30.0
K02237	2.0
K02237	2.0
K03723	16.0
K03723	16.0
K09703	13.0
K09703	13.0
K02233	34.0
K02233	34.0
K02231	40.0
K02231	40.0
K02337	30.0
K02337	30.0
K02335	9.0
K02335	9.0
K06147	136.0
K06147	136.0
K02238	1.0
K02238	1.0
K00525	20.0
K00525	20.0
K00526	6.0
K00526	6.0
K00527	115.0
K00527	115.0
K01839	56.0
K01839	56.0
K01838	6.0
K01838	6.0
K15524	6.0
K15524	6.0
K07047	2.0
K07047	2.0
K01835	56.0
K01835	56.0
K16899	13.0
K16899	13.0
K16898	17.0
K16898	17.0
K00528	128.0
K00528	128.0
K09697	7.0
K09697	7.0
K00283	14.0
K00283	14.0
K00282	10.0
K00282	10.0
K03688	8.0
K03688	8.0
K03722	2.0
K03722	2.0
K11068	245.0
K11068	245.0
K04069	278.0
K04069	278.0
K04068	103.0
K04068	103.0
K02188	20.0
K02188	20.0
K04066	16.0
K04066	16.0
K00761	93.0
K00761	93.0
K03685	15.0
K03685	15.0
K03686	33.0
K03686	33.0
K02619	12.0
K02619	12.0
K04487	100.0
K04487	100.0
K00847	4.0
K00847	4.0
K00382	40.0
K00382	40.0
K00845	17.0
K00845	17.0
K02956	547.0
K02956	547.0
K01531	12.0
K01531	12.0
K04720	22.0
K04720	22.0
K01534	10.0
K01534	10.0
K06201	21.0
K06201	21.0
K01537	38.0
K01537	38.0
K07301	0.0
K07301	0.0
K06390	0.0
K06390	0.0
K06393	0.0
K06393	0.0
K06395	0.0
K06395	0.0
K06394	0.0
K06394	0.0
K06397	0.0
K06397	0.0
K06396	0.0
K06396	0.0
K06399	0.0
K06399	0.0
K14218	0.0
K14218	0.0
K06391	0.0
K06391	0.0
K01487	14.0
K01487	14.0
K05936	26.0
K05936	26.0
K03111	696.0
K03111	696.0
K02904	213.0
K02904	213.0
K08217	1.0
K08217	1.0
K02906	726.0
K02906	726.0
K14229	16.0
K14229	16.0
K01929	20.0
K01929	20.0
K15739	0.0
K15739	0.0
K15738	17.0
K15738	17.0
K01881	348.0
K01881	348.0
K01735	7.0
K01735	7.0
K01886	60.0
K01886	60.0
K01887	54.0
K01887	54.0
K08591	28.0
K08591	28.0
K15634	9.0
K15634	9.0
K09772	85.0
K09772	85.0
K15633	518.0
K15633	518.0
K01222	24.0
K01222	24.0
K01223	64.0
K01223	64.0
K00763	66.0
K00763	66.0
K00858	23.0
K00858	23.0
K02759	40.0
K02759	40.0
K01151	18.0
K01151	18.0
K02757	10.0
K02757	10.0
K01409	33.0
K01409	33.0
K01011	38.0
K01011	38.0
K01159	4.0
K01159	4.0
K01923	110.0
K01923	110.0
K09963	0.0
K09963	0.0
K00939	647.0
K00939	647.0
K00936	34.0
K00936	34.0
K00620	0.0
K00620	0.0
K00627	2.0
K00627	2.0
K00626	569.0
K00626	569.0
K00760	51.0
K00760	51.0
K00839	8.0
K00839	8.0
K06901	73.0
K06901	73.0
K06410	0.0
K06410	0.0
K06896	1.0
K06896	1.0
K06897	3.0
K06897	3.0
K02804	660.0
K02804	660.0
K06898	3.0
K06898	3.0
K02992	648.0
K02992	648.0
K02806	8.0
K02806	8.0
K02996	492.0
K02996	492.0
K01749	24.0
K01749	24.0
K02994	488.0
K02994	488.0
K06714	3.0
K06714	3.0
K01924	89.0
K01924	89.0
K11070	7.0
K11070	7.0
K11071	5.0
K11071	5.0
K15986	138.0
K15986	138.0
K02800	198.0
K02800	198.0
K02470	71.0
K02470	71.0
K05311	522.0
K05311	522.0
K16203	25.0
K16203	25.0
K02477	6.0
K02477	6.0
K02478	6.0
K02478	6.0
K03574	46.0
K03574	46.0
K11635	2.0
K11635	2.0
K03572	20.0
K03572	20.0
K03570	37.0
K03570	37.0
K01265	635.0
K01265	635.0
K02342	8.0
K02342	8.0
K05967	33.0
K05967	33.0
K01715	559.0
K01715	559.0
K01652	1.0
K01652	1.0
K02909	496.0
K02909	496.0
K02874	458.0
K02874	458.0
K02876	553.0
K02876	553.0
K03976	3.0
K03976	3.0
K02871	409.0
K02871	409.0
K03168	42.0
K03168	42.0
K00656	535.0
K00656	535.0
K00657	17.0
K00657	17.0
K03978	60.0
K03978	60.0
K03979	35.0
K03979	35.0
K02878	377.0
K02878	377.0
K02879	530.0
K02879	530.0
K00651	8.0
K00651	8.0
K07281	82.0
K07281	82.0
K07282	4.0
K07282	4.0
K02051	26.0
K02051	26.0
K14170	9.0
K14170	9.0
K06438	4.0
K06438	4.0
K02191	12.0
K02191	12.0
K03500	9.0
K03500	9.0
K07124	0.0
K07124	0.0
K00767	3.0
K00767	3.0
K02372	43.0
K02372	43.0
K02371	131.0
K02371	131.0
K02907	104.0
K02907	104.0
K03601	14.0
K03601	14.0
K07079	29.0
K07079	29.0
K00086	11.0
K00086	11.0
K03710	56.0
K03710	56.0
K03711	170.0
K03711	170.0
K03716	15.0
K03716	15.0
K03602	9.0
K03602	9.0
K07029	34.0
K07029	34.0
K01870	130.0
K01870	130.0
K03488	9.0
K03488	9.0
K01872	52.0
K01872	52.0
K01875	108.0
K01875	108.0
K02902	345.0
K02902	345.0
K01876	84.0
K01876	84.0
K01879	104.0
K01879	104.0
K01750	30.0
K01750	30.0
K09758	28.0
K09758	28.0
K09747	47.0
K09747	47.0
K03484	4.0
K03484	4.0
K06024	32.0
K06024	32.0
K06416	148.0
K06416	148.0
K04023	12.0
K04023	12.0
K07012	23.0
K07012	23.0
K04027	17.0
K04027	17.0
K04026	24.0
K04026	24.0
K04029	16.0
K04029	16.0
K04028	4.0
K04028	4.0
K13292	5.0
K13292	5.0
K03523	3.0
K03523	3.0
K05919	85.0
K05919	85.0
K02005	62.0
K02005	62.0
K03475	4.0
K03475	4.0
K03522	1786.0
K03522	1786.0
K07050	7.0
K07050	7.0
K07053	0.0
K07053	0.0
K07052	9.0
K07052	9.0
K03525	55.0
K03525	55.0
K00012	48.0
K00012	48.0
K00013	5.0
K00013	5.0
K00014	10.0
K00014	10.0
K07058	2.0
K07058	2.0
K03800	22.0
K03800	22.0
K03478	36.0
K03478	36.0
K03154	0.0
K03154	0.0
K03624	70.0
K03624	70.0
K04041	50.0
K04041	50.0
K03150	84.0
K03150	84.0
K03151	31.0
K03151	31.0
K03621	111.0
K03621	111.0
K06411	3.0
K06411	3.0
K03091	112.0
K03091	112.0
K03090	17.0
K03090	17.0
K01791	2.0
K01791	2.0
K03629	60.0
K03629	60.0
K02304	1.0
K02304	1.0
K02013	13.0
K02013	13.0
K01693	4.0
K01693	4.0
K06978	2.0
K06978	2.0
K03803	26.0
K03803	26.0
K06976	5.0
K06976	5.0
K01226	748.0
K01226	748.0
K07447	18.0
K07447	18.0
K01874	56.0
K01874	56.0
K16651	14.0
K16651	14.0
K00278	3.0
K00278	3.0
K07240	77.0
K07240	77.0
K03652	29.0
K03652	29.0
K04096	9.0
K04096	9.0
K03650	25.0
K03650	25.0
