Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00860	-1.581	-1.49	-1.0	-0.51	-0.419
C00862	0.0	0.0	0.0	0.0	0.0
C02962	4.574	4.602	4.755	4.908	4.936
C00864	-0.566	-0.477	0.0	0.477	0.566
C04272	-0.5	-0.421	0.0	0.421	0.5
C04501	0.0	0.0	0.0	0.0	0.0
C00906	4.362	4.392	4.5545	4.717	4.747
C01419	2.596	2.687	3.17	3.653	3.744
C16186	-5.115	-5.093	-4.977	-4.861	-4.839
C01149	4.503	4.529	4.672	4.815	4.841
C01144	-2.004	-1.938	-1.585	-1.232	-1.166
C01146	-4.627	-4.601	-4.459	-4.317	-4.291
C04421	0.0	0.0	0.0	0.0	0.0
C01142	-4.546	-4.516	-4.357	-4.198	-4.168
C06510	-0.574	-0.483	0.0	0.483	0.574
C03561	4.533	4.559	4.7	4.841	4.867
C03402	-4.702	-4.674	-4.524	-4.374	-4.346
C03406	-4.777	-4.747	-4.585	-4.423	-4.393
C05512	0.486	0.567	1.0	1.433	1.514
C04181	0.0	0.0	0.0	0.0	0.0
C07645	4.405	4.433	4.585	4.737	4.765
C07648	4.344	4.372	4.524	4.676	4.704
C05519	0.0	0.0	0.0	0.0	0.0
C00327	-3.398	-3.305	-2.807	-2.309	-2.216
C00692	-0.579	-0.488	0.0	0.488	0.579
C02320	4.531	4.557	4.7	4.843	4.869
C02352	4.348	4.375	4.524	4.673	4.7
C02463	4.27	4.3	4.459	4.618	4.648
C05269	-4.58	-4.55	-4.392	-4.234	-4.204
C03232	-4.772	-4.743	-4.585	-4.427	-4.398
C18096	-4.936	-4.908	-4.755	-4.602	-4.574
C00269	2.755	2.844	3.322	3.8	3.889
C09814	4.385	4.412	4.5545	4.697	4.724
C11539	4.518	4.547	4.7	4.853	4.882
C11538	-4.699	-4.671	-4.524	-4.377	-4.349
C00263	-0.199	-0.168	0.0	0.168	0.199
C00262	-2.087	-2.008	-1.585	-1.162	-1.083
C13629	0.0	0.0	0.0	0.0	0.0
C16216	4.406	4.434	4.585	4.736	4.764
C00267	2.062	2.145	2.585	3.025	3.108
C00266	-4.763	-4.735	-4.585	-4.435	-4.407
C04494	-1.581	-1.489	-1.0	-0.511	-0.419
C00402	-4.639	-4.611	-4.459	-4.307	-4.279
C00460	4.416	4.447	4.6145	4.782	4.813
C00286	3.491	3.585	4.087	4.589	4.683
C00283	-3.004	-2.937	-2.585	-2.233	-2.166
C00282	-4.765	-4.737	-4.585	-4.433	-4.405
C00320	0.0	0.0	0.0	0.0	0.0
C01962	-4.573	-4.544	-4.392	-4.24	-4.211
C00088	0.0	0.0	0.0	0.0	0.0
C04691	-0.588	-0.495	0.0	0.495	0.588
C02218	-4.571	-4.543	-4.392	-4.241	-4.213
C05947	0.0	0.0	0.0	0.0	0.0
C05946	0.0	0.0	0.0	0.0	0.0
C01209	1.589	1.68	2.161	2.642	2.733
C00217	1.46	1.545	2.0	2.455	2.54
C00214	0.0	0.0	0.0	0.0	0.0
C00212	5.236	5.255	5.358	5.461	5.48
C00606	-1.991	-1.927	-1.585	-1.243	-1.179
C06399	-4.882	-4.854	-4.7	-4.546	-4.518
C05841	4.632	4.659	4.807	4.955	4.982
C00035	-1.561	-1.473	-1.0	-0.527	-0.439
C05844	-4.869	-4.843	-4.7	-4.557	-4.531
C00033	-4.273	-4.182	-3.7	-3.218	-3.127
C00031	2.415	2.507	3.0	3.493	3.585
C00136	-3.578	-3.514	-3.17	-2.826	-2.762
C00135	-0.584	-0.492	0.0	0.492	0.584
C00134	1.059	1.142	1.585	2.028	2.111
C00133	3.114	3.206	3.7	4.194	4.286
C00131	-0.343	-0.289	0.0	0.289	0.343
C00130	-0.526	-0.443	0.0	0.443	0.526
C05635	-4.841	-4.815	-4.672	-4.529	-4.503
C05634	4.503	4.529	4.672	4.815	4.841
C06112	0.0	0.0	0.0	0.0	0.0
C00043	0.59	0.655	1.0	1.345	1.41
C00041	1.906	1.993	2.4535	2.914	3.001
C00040	5.477	5.494	5.585	5.676	5.693
C00047	1.479	1.562	2.0	2.438	2.521
C00046	-3.904	-3.834	-3.459	-3.084	-3.014
C00044	1.006	1.097	1.585	2.073	2.164
C00049	-0.513	-0.432	0.0	0.432	0.513
C00048	-0.199	-0.168	0.0	0.168	0.199
C02642	-4.747	-4.717	-4.5545	-4.392	-4.362
C00149	-1.993	-1.929	-1.585	-1.241	-1.177
C06481	-0.59	-0.497	0.0	0.497	0.59
C20440	-0.577	-0.486	0.0	0.486	0.577
C06482	-4.792	-4.764	-4.6145	-4.465	-4.437
C04236	-4.752	-4.726	-4.585	-4.444	-4.418
C01101	4.504	4.53	4.672	4.814	4.84
C01100	-0.506	-0.426	0.0	0.426	0.506
C01103	-0.02	0.062	0.5	0.938	1.02
C01102	0.0	0.0	0.0	0.0	0.0
C05125	0.686	0.736	1.0	1.264	1.314
C03688	4.269	4.299	4.459	4.619	4.649
C06002	4.503	4.529	4.672	4.815	4.841
C06007	-0.5	-0.421	0.0	0.421	0.5
C06006	-0.571	-0.481	0.0	0.481	0.571
C00227	-0.056	-0.047	0.0	0.047	0.056
C16565	-4.626	-4.6	-4.459	-4.318	-4.292
C04633	-0.543	-0.457	0.0	0.457	0.543
C16255	-5.481	-5.462	-5.358	-5.254	-5.235
C00954	-5.228	-5.206	-5.087	-4.968	-4.946
C00957	-2.364	-2.307	-2.0	-1.693	-1.636
C05345	-3.566	-3.477	-3.0	-2.523	-2.434
C00818	-4.841	-4.815	-4.672	-4.529	-4.503
C00819	0.0	0.0	0.0	0.0	0.0
C00424	-4.76	-4.732	-4.585	-4.438	-4.41
C00429	4.362	4.392	4.5545	4.717	4.747
C00817	0.0	0.0	0.0	0.0	0.0
C03451	4.467	4.495	4.644	4.793	4.821
C01672	4.292	4.318	4.459	4.6	4.626
