Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C05811	-4.757	-4.73	-4.585	-4.44	-4.413
C05810	4.413	4.44	4.585	4.73	4.757
C00236	0.0	0.0	0.0	0.0	0.0
C00188	2.799	2.882	3.322	3.762	3.845
C00189	3.221	3.314	3.807	4.3	4.393
C00186	0.0	0.0	0.0	0.0	0.0
C00185	-4.83	-4.801	-4.644	-4.487	-4.458
C00183	4.476	4.502	4.644	4.786	4.812
C00180	-4.724	-4.697	-4.5545	-4.412	-4.385
C00181	-0.582	-0.49	0.0	0.49	0.582
C02909	4.996	5.017	5.129	5.241	5.262
C00159	5.412	5.429	5.524	5.619	5.636
C04216	-4.868	-4.842	-4.7	-4.558	-4.532
C04051	-4.815	-4.788	-4.644	-4.5	-4.473
C00158	0.0	0.0	0.0	0.0	0.0
C04352	-0.32	-0.27	0.0	0.27	0.32
C02553	-4.863	-4.837	-4.7	-4.563	-4.537
C16348	-1.391	-1.329	-1.0	-0.671	-0.609
C02946	-4.841	-4.815	-4.672	-4.529	-4.503
C16586	4.405	4.433	4.585	4.737	4.765
C05378	-0.548	-0.461	0.0	0.461	0.548
C00015	-0.496	-0.418	0.0	0.418	0.496
C05100	-4.747	-4.717	-4.5545	-4.392	-4.362
C06148	0.0	0.0	0.0	0.0	0.0
C00151	4.531	4.557	4.7	4.843	4.869
C05823	-4.683	-4.653	-4.4915	-4.33	-4.3
C02988	-4.881	-4.853	-4.7	-4.547	-4.519
C16551	-4.765	-4.737	-4.585	-4.433	-4.405
C06715	4.344	4.372	4.524	4.676	4.704
C06714	-4.756	-4.729	-4.585	-4.441	-4.414
C16466	-4.764	-4.736	-4.585	-4.434	-4.406
C16219	-0.584	-0.492	0.0	0.492	0.584
C09306	-4.718	-4.687	-4.524	-4.361	-4.33
C00254	-0.366	-0.308	0.0	0.308	0.366
C16237	-4.792	-4.764	-4.6145	-4.465	-4.437
C00931	4.393	4.423	4.585	4.747	4.777
C04327	-2.919	-2.825	-2.322	-1.819	-1.725
C16238	0.0	0.0	0.0	0.0	0.0
C18239	-5.327	-5.305	-5.1895	-5.074	-5.052
C00446	4.268	4.298	4.459	4.62	4.65
C00445	-0.513	-0.432	0.0	0.432	0.513
C01762	5.074	5.095	5.209	5.323	5.344
C00441	-2.476	-2.401	-2.0	-1.599	-1.524
C00440	-1.349	-1.294	-1.0	-0.706	-0.651
C04281	0.0	0.0	0.0	0.0	0.0
C00526	2.999	3.091	3.585	4.079	4.171
C00527	-4.704	-4.676	-4.524	-4.372	-4.344
C11453	-0.543	-0.457	0.0	0.457	0.543
C00522	-0.504	-0.425	0.0	0.425	0.504
C00448	2.11	2.185	2.585	2.985	3.06
C04882	-0.585	-0.493	0.0	0.493	0.585
C01024	-4.777	-4.747	-4.585	-4.423	-4.393
C12739	-4.712	-4.682	-4.524	-4.366	-4.336
C00009	-4.881	-4.852	-4.7	-4.548	-4.519
C01909	0.0	0.0	0.0	0.0	0.0
C00068	-0.343	-0.289	0.0	0.289	0.343
C04133	-0.558	-0.47	0.0	0.47	0.558
C03838	-0.594	-0.5	0.0	0.5	0.594
C00288	5.502	5.52	5.615	5.71	5.728
C03722	-0.589	-0.496	0.0	0.496	0.589
C05402	-4.783	-4.756	-4.6145	-4.473	-4.446
C04619	-0.543	-0.457	0.0	0.457	0.543
C05404	-4.783	-4.756	-4.6145	-4.473	-4.446
C03939	-0.454	-0.382	0.0	0.382	0.454
C00054	-4.649	-4.619	-4.459	-4.299	-4.269
C04039	-0.575	-0.484	0.0	0.484	0.575
C00627	-4.88	-4.852	-4.7	-4.548	-4.52
C00459	5.714	5.729	5.807	5.885	5.9
C01228	-4.773	-4.743	-4.585	-4.427	-4.397
C00239	0.0	0.0	0.0	0.0	0.0
C00725	4.437	4.465	4.6145	4.764	4.792
C00231	-3.031	-2.961	-2.585	-2.209	-2.139
C00232	-0.392	-0.33	0.0	0.33	0.392
C00233	-4.752	-4.726	-4.585	-4.444	-4.418
C00234	1.835	1.912	2.322	2.732	2.809
C00235	-0.541	-0.456	0.0	0.456	0.541
C01613	4.446	4.473	4.6145	4.756	4.783
C00237	-0.353	-0.297	0.0	0.297	0.353
C00010	-3.474	-3.384	-2.9035	-2.423	-2.333
C05984	4.3	4.33	4.4915	4.653	4.683
C00012	4.463	4.491	4.644	4.797	4.825
C00014	-4.455	-4.369	-3.907	-3.445	-3.359
C05980	-4.86	-4.835	-4.7	-4.565	-4.54
C00016	0.0	0.0	0.0	0.0	0.0
C00018	-4.88	-4.852	-4.7	-4.548	-4.52
C00019	-1.501	-1.422	-1.0	-0.578	-0.499
C00153	-5.307	-5.286	-5.17	-5.054	-5.033
C00152	1.056	1.14	1.585	2.03	2.114
C00155	-4.487	-4.395	-3.907	-3.419	-3.327
C02835	-4.841	-4.815	-4.672	-4.529	-4.503
C05714	4.385	4.412	4.5545	4.697	4.724
C05715	4.385	4.412	4.5545	4.697	4.724
C05711	-4.869	-4.843	-4.7	-4.557	-4.531
C02713	4.414	4.441	4.585	4.729	4.756
C02336	-0.598	-0.504	0.0	0.504	0.598
C14108	-4.756	-4.729	-4.585	-4.441	-4.414
C02331	0.0	0.0	0.0	0.0	0.0
C00058	2.273	2.357	2.807	3.257	3.341
C06320	0.0	0.0	0.0	0.0	0.0
C04620	-0.543	-0.457	0.0	0.457	0.543
C00655	-3.513	-3.432	-3.0	-2.568	-2.487
C00301	4.418	4.444	4.585	4.726	4.752
C00302	-4.724	-4.697	-4.5545	-4.412	-4.385
C00718	-0.472	-0.397	0.0	0.397	0.472
C02232	-4.753	-4.727	-4.585	-4.443	-4.417
C14089	4.996	5.017	5.129	5.241	5.262
C14107	4.414	4.441	4.585	4.729	4.756
C14086	4.414	4.441	4.585	4.729	4.756
C14087	-4.756	-4.729	-4.585	-4.441	-4.414
C17551	-4.757	-4.73	-4.585	-4.44	-4.413
C17556	-2.178	-2.084	-1.585	-1.086	-0.992
C04442	-0.455	-0.383	0.0	0.383	0.455
C01127	4.369	4.394	4.524	4.654	4.679
C06188	-0.592	-0.498	0.0	0.498	0.592
C05665	4.503	4.529	4.672	4.815	4.841
C03058	4.414	4.441	4.585	4.729	4.756
C06186	5.077	5.098	5.209	5.32	5.341
C06187	-3.915	-3.821	-3.322	-2.823	-2.729
C18902	4.465	4.493	4.644	4.795	4.823
C03294	-4.756	-4.729	-4.585	-4.441	-4.414
C02051	2.412	2.505	3.0	3.495	3.588
C03114	4.202	4.232	4.392	4.552	4.582
C06611	0.0	0.0	0.0	0.0	0.0
C06612	0.0	0.0	0.0	0.0	0.0
C04088	-4.738	-4.714	-4.585	-4.456	-4.432
C06614	0.0	0.0	0.0	0.0	0.0
C06615	0.0	0.0	0.0	0.0	0.0
C06755	0.0	0.0	0.0	0.0	0.0
C06754	0.0	0.0	0.0	0.0	0.0
C00979	4.737	4.76	4.8825	5.005	5.028
C00877	-0.285	-0.24	0.0	0.24	0.285
C16273	-3.4	-3.306	-2.807	-2.308	-2.214
C16272	4.907	4.929	5.044	5.159	5.181
C04246	-0.596	-0.502	0.0	0.502	0.596
C00409	-4.762	-4.734	-4.585	-4.436	-4.408
C03373	-0.572	-0.482	0.0	0.482	0.572
C16074	4.385	4.412	4.5545	4.697	4.724
C04778	0.49	0.571	1.0	1.429	1.51
C00407	4.508	4.538	4.7	4.862	4.892
C01401	-4.724	-4.697	-4.5545	-4.412	-4.385
C01151	-4.699	-4.671	-4.524	-4.377	-4.349
C06056	-4.754	-4.728	-4.585	-4.442	-4.416
C06506	0.0	0.0	0.0	0.0	0.0
C06055	4.416	4.442	4.585	4.728	4.754
C03479	4.434	4.463	4.6145	4.766	4.795
C01412	4.266	4.297	4.459	4.621	4.652
C06114	-4.869	-4.843	-4.7	-4.557	-4.531
C06508	-0.575	-0.484	0.0	0.484	0.575
C06509	-0.399	-0.336	0.0	0.336	0.399
C09332	-4.735	-4.707	-4.5545	-4.402	-4.374
C06032	-2.805	-2.728	-2.322	-1.916	-1.839
C01157	0.0	0.0	0.0	0.0	0.0
C02576	4.503	4.529	4.672	4.815	4.841
C03972	-0.468	-0.394	0.0	0.394	0.468
C03974	-4.704	-4.676	-4.524	-4.372	-4.344
C00577	1.011	1.102	1.585	2.068	2.159
C01300	2.593	2.684	3.17	3.656	3.747
C00279	-1.573	-1.482	-1.0	-0.518	-0.427
C13632	0.0	0.0	0.0	0.0	0.0
C01304	-0.582	-0.49	0.0	0.49	0.582
C01801	4.473	4.5	4.644	4.788	4.815
C00275	-4.725	-4.638	-4.17	-3.702	-3.615
C00270	4.506	4.533	4.672	4.811	4.838
C00900	-0.571	-0.481	0.0	0.481	0.571
C00479	4.296	4.322	4.459	4.596	4.622
C00475	-0.3	-0.253	0.0	0.253	0.3
C12215	-4.757	-4.73	-4.585	-4.44	-4.413
C12214	4.413	4.44	4.585	4.73	4.757
C00294	3.127	3.218	3.7	4.182	4.273
C00295	0.0	0.0	0.0	0.0	0.0
C00357	-0.526	-0.443	0.0	0.443	0.526
C05698	-0.583	-0.491	0.0	0.491	0.583
C01267	-0.352	-0.296	0.0	0.296	0.352
C00353	-4.565	-4.538	-4.392	-4.246	-4.219
C00352	-2.564	-2.475	-2.0	-1.525	-1.436
C00299	-0.312	-0.263	0.0	0.263	0.312
C02166	4.531	4.557	4.7	4.843	4.869
C04666	-3.146	-3.058	-2.585	-2.112	-2.024
C01269	-0.481	-0.405	0.0	0.405	0.481
C05979	-4.622	-4.596	-4.459	-4.322	-4.296
C05898	-4.607	-4.579	-4.4255	-4.272	-4.244
C05893	-4.607	-4.579	-4.4255	-4.272	-4.244
C05892	4.268	4.298	4.459	4.62	4.65
C05596	-4.704	-4.676	-4.524	-4.372	-4.344
C01279	0.427	0.517	1.0	1.483	1.573
C04046	0.0	0.0	0.0	0.0	0.0
C05382	-0.464	-0.39	0.0	0.39	0.464
C00120	-0.51	-0.43	0.0	0.43	0.51
C00121	4.473	4.5	4.644	4.788	4.815
C00122	-0.217	-0.183	0.0	0.183	0.217
C00123	4.349	4.376	4.524	4.672	4.699
C00129	-0.532	-0.448	0.0	0.448	0.532
C15532	4.48	4.506	4.644	4.782	4.808
C00356	0.0	0.0	0.0	0.0	0.0
C11934	-4.756	-4.729	-4.585	-4.441	-4.414
C15973	4.963	4.986	5.108	5.23	5.253
C03028	-4.633	-4.606	-4.459	-4.312	-4.285
C05749	-0.581	-0.489	0.0	0.489	0.581
C20589	-5.706	-5.687	-5.585	-5.483	-5.464
C05747	-0.589	-0.496	0.0	0.496	0.589
C05746	-0.584	-0.492	0.0	0.492	0.584
C05745	-0.581	-0.489	0.0	0.489	0.581
C05744	-3.353	-3.267	-2.807	-2.347	-2.261
C03150	5.033	5.054	5.17	5.286	5.307
C04618	-0.506	-0.426	0.0	0.426	0.506
C02091	-4.864	-4.838	-4.7	-4.562	-4.536
C00726	4.385	4.412	4.5545	4.697	4.724
C00055	0.0	0.0	0.0	0.0	0.0
C03539	-0.078	0.013	0.5	0.987	1.078
C00199	2.027	2.115	2.585	3.055	3.143
C00051	4.531	4.557	4.7	4.843	4.869
C00052	-0.492	-0.414	0.0	0.414	0.492
C00194	-5.205	-5.183	-5.0655	-4.948	-4.926
C00197	-3.719	-3.633	-3.17	-2.707	-2.621
C03785	-2.914	-2.82	-2.322	-1.824	-1.73
C02714	-4.801	-4.772	-4.6145	-4.457	-4.428
C00192	4.27	4.3	4.459	4.618	4.648
C00354	-0.285	-0.24	0.0	0.24	0.285
C00011	1.789	1.873	2.322	2.771	2.855
C01118	0.0	0.0	0.0	0.0	0.0
C01050	-0.569	-0.479	0.0	0.479	0.569
C04574	0.411	0.504	1.0	1.496	1.589
C05130	4.503	4.529	4.672	4.815	4.841
C00206	-4.016	-3.928	-3.459	-2.99	-2.902
C06156	0.0	0.0	0.0	0.0	0.0
C04807	-0.59	-0.497	0.0	0.497	0.59
C20423	-0.589	-0.496	0.0	0.496	0.589
C20422	-4.886	-4.797	-4.322	-3.847	-3.758
C03492	-0.583	-0.491	0.0	0.491	0.583
C02457	-4.622	-4.596	-4.459	-4.322	-4.296
C06010	-0.504	-0.424	0.0	0.424	0.504
C00831	4.412	4.439	4.585	4.731	4.758
